,C,Classifier,Dataset,accuracy
459,,Ensemble-C4.5,SonyAIBORobotSurfaceII,
460,,Ensemble-C4.5,StarLightCurves,
461,,Ensemble-C4.5,SwedishLeaf,
462,,Ensemble-C4.5,Symbols,0.5588000000000001
463,,Ensemble-C4.5,Trace,0.96
464,,Ensemble-C4.5,TwoLeadECG,0.7646999999999999
465,,Ensemble-C4.5,Two_Patterns,
466,,Ensemble-C4.5,WordsSynonyms,
467,,Ensemble-C4.5,synthetic_control,0.8467
468,,Ensemble-C4.5,uWaveGestureLibrary_X,
469,,Ensemble-C4.5,uWaveGestureLibrary_Y,
470,,Ensemble-C4.5,uWaveGestureLibrary_Z,
471,,Ensemble-C4.5,wafer,
472,,Ensemble-C4.5,yoga,
473,,Ensemble-1NN,50words,
474,,Ensemble-1NN,Adiac,0.2583
475,,Ensemble-1NN,Beef,0.8667
476,,Ensemble-1NN,CBF,
477,,Ensemble-1NN,ChlorineConcentration,0.5669
478,,Ensemble-1NN,CinC_ECG_torso,
479,,Ensemble-1NN,Coffee,1.0
480,,Ensemble-1NN,Cricket_X,
481,,Ensemble-1NN,Cricket_Y,
482,,Ensemble-1NN,Cricket_Z,
483,,Ensemble-1NN,DiatomSizeReduction,0.9281
484,,Ensemble-1NN,ECG200,
485,,Ensemble-1NN,ECGFiveDays,0.9640000000000001
486,,Ensemble-1NN,FaceAll,
487,,Ensemble-1NN,FaceFour,0.9205
488,,Ensemble-1NN,FacesUCR,
489,,Ensemble-1NN,Fish,
490,,Ensemble-1NN,Gun_Point,
491,,Ensemble-1NN,Haptics,
492,,Ensemble-1NN,InlineSkate,
493,,Ensemble-1NN,ItalyPowerDemand,0.9223
494,,Ensemble-1NN,Lightning2,
495,,Ensemble-1NN,Lightning7,0.6437999999999999
496,,Ensemble-1NN,MALLAT,
497,,Ensemble-1NN,MedicalImages,0.4565999999999999
498,,Ensemble-1NN,MoteStrain,0.889
499,,Ensemble-1NN,OSULeaf,
500,,Ensemble-1NN,OliveOil,
501,,Ensemble-1NN,SonyAIBORobotSurface,0.9334
502,,Ensemble-1NN,SonyAIBORobotSurfaceII,
503,,Ensemble-1NN,StarLightCurves,
504,,Ensemble-1NN,SwedishLeaf,
505,,Ensemble-1NN,Symbols,0.8724
506,,Ensemble-1NN,Trace,1.0
